label,user_name_len,full_name_len,intro_len,external_url,is_joined_recently,is_private,is_verified,is_business_account,highlight_reel_count,following_count,followed_count,post_count,avg_comment,avg_like,avg_post_len,avg_#,avg_@,var_comment,var_like,var_post_len,var_#,var_@
0,9,1,5,0,0,0,0,0,0,521,40,4,0,1,169,0,0,0,3,17788,0,0
0,19,19,0,0,0,1,0,0,0,448,102,4,0,0,0,0,0,0,0,0,0,0
0,8,3,33,0,0,1,0,0,0,517,34,1,0,0,0,0,0,0,0,0,0,0
0,11,9,7,0,0,1,0,0,0,90,28,5,0,0,0,0,0,0,0,0,0,0
0,13,10,8,0,0,1,0,0,0,451,59,5,0,0,0,0,0,0,0,0,0,0
0,12,8,8,0,0,1,0,0,0,496,25,4,0,0,0,0,0,0,0,0,0,0
0,11,9,12,0,0,0,0,0,0,481,51,5,0,3,0,0,0,0,5,0,0,0
0,10,2,33,0,0,0,0,0,0,521,22,5,0,0,2,0,0,0,0,39,0,0
0,10,2,19,0,0,0,0,0,0,436,33,5,0,0,51,0,0,0,1,2910,0,0
0,12,10,22,0,0,1,0,0,0,534,62,4,0,0,0,0,0,0,0,0,0,0
0,9,1,19,0,0,0,0,0,0,509,14,4,0,1,1,0,0,0,0,12,0,0
0,10,8,30,0,0,1,0,0,0,528,82,3,0,0,0,0,0,0,0,0,0,0
0,8,2,62,0,0,1,0,0,0,561,64,4,0,0,0,0,0,0,0,0,0,0
0,8,7,31,0,0,0,0,0,0,280,61,5,0,0,15,0,0,0,0,654,0,0
0,13,9,42,0,0,1,0,0,0,528,80,3,0,0,0,0,0,0,0,0,0,0
0,10,8,22,0,0,1,0,0,0,94,40,3,0,0,0,0,0,0,0,0,0,0
0,10,14,27,0,0,0,0,0,0,582,59,4,0,3,25,0,0,0,1,494,0,0
0,11,12,84,0,0,1,0,0,0,537,68,5,0,0,0,0,0,0,0,0,0,0
0,12,7,18,0,0,1,0,0,0,503,90,5,0,0,0,0,0,0,0,0,0,0
0,9,10,84,0,0,1,0,0,0,537,45,3,0,0,0,0,0,0,0,0,0,0
0,9,1,60,0,0,1,0,0,0,542,67,4,0,0,0,0,0,0,0,0,0,0
0,15,13,1,0,0,1,0,0,0,520,60,5,0,0,0,0,0,0,0,0,0,0
0,16,9,20,0,0,1,0,0,0,497,59,4,0,0,0,0,0,0,0,0,0,0
0,12,2,13,0,0,0,0,0,0,432,69,4,0,0,0,0,0,0,0,0,0,0
0,10,7,16,0,0,1,0,0,0,484,95,5,0,0,0,0,0,0,0,0,0,0
0,10,8,16,0,0,0,0,0,0,425,22,4,0,1,0,0,0,0,0,0,0,0
0,9,2,55,0,0,1,0,0,0,492,28,2,0,0,0,0,0,0,0,0,0,0
0,11,3,12,0,0,1,0,0,0,278,57,5,0,0,0,0,0,0,0,0,0,0
0,6,2,43,0,0,1,0,0,0,477,25,2,0,0,0,0,0,0,0,0,0,0
0,12,1,140,0,0,0,0,0,0,486,56,5,0,0,0,0,0,0,1,0,0,0
0,9,1,30,0,0,0,0,0,0,487,40,5,0,1,134,0,0,0,1,34392,0,0
0,7,10,41,0,0,0,0,0,0,467,61,4,0,2,0,0,0,0,2,0,0,0
0,15,12,37,0,0,1,0,0,0,499,84,5,0,0,0,0,0,0,0,0,0,0
0,10,9,77,0,0,1,0,0,0,488,30,4,0,0,0,0,0,0,0,0,0,0
0,9,2,31,0,0,1,0,0,0,514,66,5,0,0,0,0,0,0,0,0,0,0
0,15,8,18,0,0,0,0,0,0,375,14,4,0,1,0,0,0,0,0,0,0,0
0,11,14,0,0,0,1,0,0,0,498,78,4,0,0,0,0,0,0,0,0,0,0
0,7,1,40,0,0,1,0,0,0,530,58,4,0,0,0,0,0,0,0,0,0,0
0,11,12,2,0,0,1,0,0,0,506,79,3,0,0,0,0,0,0,0,0,0,0
0,10,7,10,0,0,1,0,0,0,484,77,4,0,0,0,0,0,0,0,0,0,0
0,9,2,137,0,0,0,0,0,0,331,82,4,0,1,0,0,0,0,2,0,0,0
0,10,9,30,0,0,0,0,0,0,621,65,4,0,2,58,0,0,0,1,1443,0,0
0,15,3,76,0,0,1,0,0,0,451,78,4,0,0,0,0,0,0,0,0,0,0
0,12,9,37,0,0,1,0,0,0,449,60,3,0,0,0,0,0,0,0,0,0,0
0,7,3,13,0,0,0,0,0,0,461,70,4,0,0,0,0,0,0,0,0,0,0
0,9,2,6,0,0,1,0,0,0,517,62,0,0,0,0,0,0,0,0,0,0,0
0,13,13,65,0,0,1,0,0,0,474,87,4,0,0,0,0,0,0,0,0,0,0
0,8,3,17,0,0,1,0,0,0,483,74,4,0,0,0,0,0,0,0,0,0,0
0,18,10,5,0,0,0,0,0,0,383,57,4,0,0,20,0,0,0,0,744,0,0
