label,counter,user_id,user_name_len,full_name_len,intro_len,external_url,is_joined_recently,is_private,is_verified,is_business_account,highlight_reel_count,following_count,followed_count,post_count,avg_comment,avg_like,avg_post_len,avg_#,avg_@,var_comment,var_like,var_post_len,var_#,var_@
1,1202,-2147483648,10,10,7,0,0,0,0,0,0,8,12,4,1,1,15,0,0,7,0,53,0,0
1,1203,550480784,6,6,37,1,0,0,1,1,7,150,106893,2130,27,745,71,0,1,1605,926467,6122,0,2
1,1204,10179481,8,18,1,0,0,0,1,0,1,213,1074630,1,20,21860,0,0,0,0,0,0,0,0
1,1205,39377970,6,6,0,1,0,0,1,0,2,186,1397516,1,0,22176,0,0,0,0,0,0,0,0
1,1206,40357265,17,0,0,1,0,0,1,0,0,3,827192,1,0,30228,0,0,0,0,0,0,0,0
1,1207,-2147483648,17,18,36,1,0,0,0,1,1,276,1655,26,10,211,78,0,0,68,8975,1606,0,0
1,1208,276166533,13,6,112,1,0,0,1,1,0,15,285542,93,8,4217,30,0,0,381,26060122,2343,0,0
1,1209,-2147483648,11,13,100,1,0,0,0,0,9,125,17331,182,24,785,415,2,0,637,246510,84105,6,0
1,1210,319987532,8,8,129,1,0,0,1,0,31,1191,79054,1552,26,1281,86,0,0,299,300774,7260,0,2
1,1211,23814473,10,12,134,1,0,1,1,0,0,2687,202444,9456,0,0,0,0,0,0,0,0,0,0
1,1212,-2147483648,14,5,139,1,0,0,0,1,11,258,6461,219,3,105,37,0,0,7,11519,491,0,0
1,1213,198081712,10,8,81,1,0,0,1,1,21,1853,45633,1001,85,1001,292,0,0,8416,1070704,101229,1,0
1,1214,-2147483648,11,16,146,1,0,0,0,0,3,3,10942,3635,6,317,68,0,0,28,26663,39238,0,1
1,1215,25063782,8,8,48,1,0,0,1,1,22,109,2527225,3241,202,12774,94,0,1,63214,110048206,4264,0,1
1,1216,33055151,9,10,109,1,0,0,1,1,14,1155,173010,1396,35,1467,217,1,1,1410,2194449,65748,13,3
1,1217,310670677,13,16,0,0,0,0,1,0,0,933,31494,952,66,1831,152,1,2,8191,3481499,47347,2,8
1,1218,214275881,12,4,49,1,0,0,1,1,15,115,24145,288,48,1375,103,0,0,4581,415447,17079,0,0
1,1219,293879594,13,14,112,1,0,0,1,1,0,194,3227123,4210,51,10242,69,0,0,2552,135293634,1967,0,0
1,1220,21953690,12,13,93,1,0,0,1,1,7,7464,471266,73,531,11981,264,0,0,1128967,35599726,40043,2,0
1,1221,43431703,11,6,78,1,0,0,1,0,6,1843,11029,112,16,284,128,0,1,165,23028,8271,1,2
1,1222,206034174,4,26,20,1,0,0,1,0,6,1508,18882342,3178,1990,160806,135,0,1,12284066,-2147483648,15489,3,4
1,1223,225923860,14,9,129,1,0,0,1,1,10,972,329119,558,59,2869,78,0,0,4511,2287300,4012,0,0
1,1224,18706841,7,11,6,0,0,0,1,1,0,688,8891181,1462,1553,267019,102,0,0,4284555,-2147483648,20341,0,0
1,1225,302166998,8,17,148,1,0,0,1,1,4,234,361488,5536,102,4230,341,3,4,13423,4094563,32756,3,14
1,1226,23613805,3,10,50,1,0,0,1,1,0,289,5149337,551,1648,301407,49,0,0,3797196,-2147483648,5131,0,0
1,1227,175434065,13,14,25,1,0,0,1,0,14,2559,8857781,4159,1066,154862,142,0,1,3650363,-2147483648,16647,1,1
1,1228,36118956,10,13,118,1,0,0,1,1,0,738,6871295,434,2205,358595,71,0,0,5947435,-2147483648,6333,0,0
1,1229,297467441,15,13,101,1,0,0,1,1,5,1016,303917,1270,199,8727,72,0,0,14417,9417924,7098,0,0
1,1230,237213623,10,11,3,0,0,0,1,1,0,600,5674637,1487,2174,442549,20,0,0,5326152,-2147483648,1025,0,0
1,1231,912639211,12,25,124,1,0,0,1,0,1,8,8902296,724,1300,351571,35,0,0,3241981,-2147483648,1340,0,0
1,1232,1485011963,8,9,30,1,0,0,1,0,0,409,3828365,119,39,269024,71,0,0,477,-2147483648,4740,1,0
1,1233,-2147483648,5,6,0,0,0,0,1,0,5,485,2035775,43,667,128236,36,0,0,385413,-2147483648,696,0,0
1,1234,14805456,8,9,96,1,0,0,1,1,5,182,24145612,982,3699,989347,71,1,0,7125196,-2147483648,2860,1,0
