user_id,user_name_len,full_name_len,intro_len,external_url,is_joined_recently,is_private,is_verified,is_business_account,highlight_reel_count,following_count,followed_count,post_count,avg_comment,avg_like,avg_post_len,avg_#,avg_@,var_comment,var_like,var_post_len,var_#,var_@,label
44476404559,14,10,6,0,0,1,0,0,0,359,89,4,0,0,0,0,0,0,0,0,0,0,0
39459106376,10,9,6,0,0,0,0,0,0,519,16,4,0,0.25,11.5,0,0,0,0.25,529,0,0,0
45134584151,14,10,41,0,0,1,0,0,0,304,18,5,0,0,0,0,0,0,0,0,0,0,0
41142584567,10,11,150,0,0,1,0,0,0,517,68,3,0,0,0,0,0,0,0,0,0,0,0
46165226615,12,8,132,0,0,1,0,0,0,63,17,4,0,0,0,0,0,0,0,0,0,0,0
41943170468,12,11,0,0,0,1,0,0,0,295,64,5,0,0,0,0,0,0,0,0,0,0,0
39848163417,12,8,17,0,0,0,0,0,0,549,25,5,0,0,42.4,0,0,0,0,1379.8,0,0,0
42161930343,14,12,21,0,0,1,0,0,0,592,66,4,0,0,0,0,0,0,0,0,0,0,0
38551991806,15,2,96,0,0,0,0,0,0,497,19,4,0,0,0,0,0,0,0,0,0,0,0
45744502182,8,7,37,0,0,1,0,0,0,55,7,4,0,0,0,0,0,0,0,0,0,0,0
44408888955,17,11,27,0,0,1,0,0,0,550,96,5,0,0,0,0,0,0,0,0,0,0,0
39849305205,8,7,7,0,0,0,0,0,0,504,31,4,0,1.5,0,0,0,0,1,0,0,0,0
43511889350,11,8,17,0,0,1,0,0,0,575,107,4,0,0,0,0,0,0,0,0,0,0,0
43977277880,16,11,140,0,0,1,0,0,0,489,115,4,0,0,0,0,0,0,0,0,0,0,0
45096412572,10,1,48,0,0,1,0,0,0,198,37,2,0,0,0,0,0,0,0,0,0,0,0
46087621623,10,10,6,0,0,1,0,0,0,71,18,5,0,0,0,0,0,0,0,0,0,0,0
45051231812,10,1,23,0,0,1,0,0,0,231,16,5,0,0,0,0,0,0,0,0,0,0,0
44934428567,9,8,48,0,0,1,0,0,0,325,23,2,0,0,0,0,0,0,0,0,0,0,0
44751013868,11,1,119,0,0,1,0,0,0,333,29,1,0,0,0,0,0,0,0,0,0,0,0
45125571500,10,1,35,0,0,1,0,0,0,302,31,5,0,0,0,0,0,0,0,0,0,0,0
44185829477,11,2,5,0,0,1,0,0,0,533,78,5,0,0,0,0,0,0,0,0,0,0,0
45927168424,12,8,55,0,0,1,0,0,0,90,45,5,0,0,0,0,0,0,0,0,0,0,0
39863624530,11,7,17,0,0,0,0,0,0,570,35,4,0,2.25,1.5,0,0,0,0.25,9,0,0,0
44773565327,9,8,33,0,0,1,0,0,0,298,38,4,0,0,0,0,0,0,0,0,0,0,0
39030320511,8,2,12,0,0,1,0,0,0,515,23,2,0,0,0,0,0,0,0,0,0,0,0
44748158457,10,2,18,0,0,1,0,0,0,319,18,6,0,0,0,0,0,0,0,0,0,0,0
39383963541,20,13,65,0,0,0,0,0,0,539,24,6,0,1.333333333,14.16666667,0,0,0,1.466666667,152.1666667,0,0,0
